,class_0,class_1,class_2,class_3
tp,0.4322861268146287,0.11673024410245673,0.1092903100572306,0.24881353381490787
fp,0.016086007293411503,0.031091721628978223,0.03077826196957007,0.014923794318816304
tn,0.5354543332984366,0.8216955873115578,0.8307614024986041,0.7192088916806253
fn,0.016173532593523172,0.030482446957007258,0.0291700254745952,0.017053780185650475
total,1.0,1.0,1.0,1.0
