,class_0,class_1,class_2,class_3
tp,0.42497097030290343,0.10222699870882189,0.1010163883654383,0.24618801472640983
fp,0.029055280743997765,0.037769969639865994,0.03804083350781686,0.02073154400474595
tn,0.5224850598478503,0.81501733930067,0.8234988309603574,0.7134011419946957
fn,0.023488689105248463,0.0449856923506421,0.03744394716638749,0.01967929927414852
total,1.0,1.0,1.0,1.0
