,class_0,class_1,class_2,class_3
tp,19484749,4687067,4631561,11287622
fp,1332173,1731738,1744157,950533
tn,23955731,37368219,37757092,32709157
fn,1076947,2062576,1716790,902288
total,45849600,45849600,45849600,45849600
