,class_0,class_1,class_2,class_3
tp,0.4314151050390843,0.10783348164433278,0.10104825341987717,0.24467537339475154
fp,0.02361486250697934,0.0305240612786153,0.038980056532663315,0.02190880618369626
tn,0.5279254780848688,0.8222632476619207,0.8225596079355109,0.7122238798157454
fn,0.01704455436906756,0.03937920941513121,0.03741208211194863,0.02119194060580681
total,1.0,1.0,1.0,1.0
