,class_0,class_1,class_2,class_3
tp,19780210,4944122,4633022,11218268
fp,1082732,1399516,1787220,1004510
tn,24205172,37700441,37714029,32655180
fn,781486,1805521,1715329,971642
total,45849600,45849600,45849600,45849600
