,class_0,class_1,class_2,class_3
tp,0.43085302816164156,0.11025001308626466,0.10831732446957007,0.2467114435022334
fp,0.020403842127303184,0.03053852160106086,0.03701205681183696,0.015913770240089335
tn,0.5311364984645449,0.8222487873394752,0.8245276076563373,0.7182189157593524
fn,0.01760663124651033,0.03696267797319933,0.030143011062255722,0.01915587049832496
total,1.0,1.0,1.0,1.0
