,class_0,class_1,class_2,class_3
tp,19754439,5054919,4966306,11311621
fp,935508,1400179,1696988,729640
tn,24352396,37699778,37804261,32930050
fn,807257,1694724,1382045,878289
total,45849600,45849600,45849600,45849600
