,class_0,class_1,class_2,class_3
tp,19321635,4327659,4224479,11094645
fp,1416845,2043771,2212299,1208267
tn,23871059,37056186,37288950,32451423
fn,1240061,2421984,2123872,1095265
total,45849600,45849600,45849600,45849600
