,class_0,class_1,class_2,class_3
tp,0.42141338201423784,0.0943881516959799,0.09213775038386376,0.24197910123534339
fp,0.030902014412339474,0.044575547005862644,0.04825121702261306,0.02635283622975991
tn,0.5206383261795087,0.8082117619346734,0.8132884474455612,0.7077798497696818
fn,0.027046277393914013,0.05282453936348409,0.04632258514796203,0.023888212765214963
total,1.0,1.0,1.0,1.0
